Error category;Error type;Severity;Source Text;Target Text;Suggested Target Text
Accuracy;Under-translation;Minor;Developed pain for two;Развилась боль за обоих;Появилась боль в обоих
Accuracy;Untranslated text;Minor;You can hear me;;Ты меня слышишь
Accuracy;Untranslated text;Minor;Was very nervous during that first meeting;;Был нервным во время первой встречи
Accuracy;Mistranslation;Minor;Thank you for a delicious dinner;Спасибо за вкусный ужин;Благодарю за вкусный ужин
Accuracy;Mistranslation;Minor;I'm not sure that we'll be able to bring any powder back to Canada;;Я не уверен, что мы сможем провести какой-нибудь порошок в Канаду
Accuracy;Untranslated text;Minor;I looking for my room can you help 66;;Помоги мне, пожалуйста, найти мою комнату
Accuracy;Untranslated text;Minor;I'm finally got to fitness;;Я наконец-то пошел на фитнес
Fluency;Inconsistency;Minor;If you go to a supplier company and you ask for a pipe that is for water they will be confused but if you go to a special vacuum cleaner company they immediately know what you want;Если ты обращаешься к фирме-поставщику и попросишь трубу для воды, они в замешательстве. Но если ты идешь в компанию по производству пылесосов, они тут же понимают, что тебе нужно;Если ты обратишься к фирме-поставщику и попросишь трубу для воды, они будут в замешательстве. Но если ты пойдешь в компанию по производству пылесосов, они тут же поймут, что тебе нужно
Fluency;Inconsistency;Minor;If you go to a supplier company and you ask for a pipe that is for water they will be confused but if you go to a special vacuum cleaner company they immediately know what you want;Если ты обращаешься к фирме-поставщику и попросишь трубу для воды, они об этом понятия не имеют. Но если ты обращаешься в компанию по производству пылесосов, они сразу же понимают, чего ты хочешь;Если ты обращаешься к фирме-поставщику и попросишь трубу для воды, они не смогут помочь. Но если ты обращаешься в компанию по производству пылесосов, они сразу же понимают, чего ты хочешь
;;;The games over we've won;Игра закончена, мы выиграли;
;;;I don't know what else to say;Я не знаю, что еще сказать;
Accuracy;Untranslated text;Minor;Your son has a good job;;У Вашего сына хорошая работа
Accuracy;Untranslated text;Minor;What other magical sea creatures do you know;;Каких еще волшебных морских животных ты знаешь
Accuracy;Untranslated text;Minor;My arsehole is big;;У меня большая задница
Accuracy;Untranslated text;Minor;And my tablet just died so I can not do my Spanish homework;;А мой планшет сломался, так что я не могу сделать свою домашнюю работу по испанскому языку
Fluency;Punctuation;Minor;This is where;Это где?;Это где
Accuracy;Untranslated text;Minor;This is where;;Это именно там, где
Accuracy;Untranslated text;Minor;Do you know what time we go sleep;;Знаешь ли ты, в какое время мы ложимся спать?
;;;Allyis I want to put my penis inside you and break your ass in two;Эллиз, я хочу вставить мой пенис в тебя и разорвать твой зад надвое;
;;;Come up to my Internet;Зайди в мой интернет;
;;;I shouldn't say this but I think the father is a bit of a dick;Мне не стоит этого говорить, но я думаю, что отец немного придурок;
;;;Did he kill the dog;Он убил собаку?;
;;;I don't want to do that I don't want that;Я не хочу делать это, я не хочу этого;
Accuracy;Untranslated text;Minor;Hey hi how are you how are you doing what;;Привет! Как Ваши дела? Что у Вас нового?
Fluency;Inconsistency;Minor;This I translate voice is absolutely fantastic because when you get to the end of it. you can then press the arrow and send it to WhatsApp and it actually seems to translate better than Google translate and I translate.;Я это перевожу. Голос просто волшебный, когда дойдешь до его окончания. Можно нажать на стрелку и отправить его в WhatsApp, и такое ощущение, что это на самом деле переводит лучше, чем Google, да и чем мой перевод;Я это перевожу. Голос просто волшебный, поэтому, когда вы закончите, вы можете затем нажать на стрелку и отправить его в WhatsApp, и это на лучший перевод, чем у Google, и я чем я бы перевел.
;;;This is the wholesale;Это оптовая торговля;
Accuracy;Untranslated text;Minor;When he was younger he never did anything wrong ?-mark or that's what he says;;Когда он был моложе, он никогда не делал ничего плохого? Марк, или как он там сказал
Accuracy;Mistranslation;Minor;This car is 200 one registration as you know it's not a brand-new car but for the age it's got looks good drives good this is all I can say;Эта машина стоит 200, одна регистрация, как ты знаешь, это не новенькая машина, но для ее возраста она выглядит хорошо, хорошо ездит, это все, что я могу сказать;Одна регистрация этой машины стоит 200. Как ты знаешь, это не новенькая машина, но для ее возраста она выглядит хорошо, хорошо ездит, это все, что я могу сказать
Accuracy;Untranslated text;Minor;This car is 200 one registration as you know it's not a brand-new car but for the age it's got looks good drives good this is all I can say;;Только регистрация машины стоит 200. Она уже не новая, как ты знаешь, но для ее возраста, она в хорошем состоянии и хорошо ездит. Вот и все, что я могу сказать
;;;It was so excited Maria talked so fluently but I did not understand some words I don't know;Это было так взволнованно, Мария говорила так бегло, но я не понимал некоторых слов, которых не знаю;
Accuracy;Untranslated text;Minor;Why are you touching and playing in the fruits;;Почему ты берешь фрукты и играешь с ними?
Accuracy;Addition;Minor;Just accept to be my girlfriend and I will take good care of you okay;Просто прими, что ты стала моей подругой, и я буду полностью заботиться о тебе, окей;Просто прими, что ты стала моей подругой, и я буду  заботиться о тебе, окей
Accuracy;Untranslated text;Minor;Just accept to be my girlfriend and I will take good care of you okay;;Просто прими, что мы теперь друзья и я буду о тебе заботиться, ладно?
