Error category;Error type;Severity;Source Text;Target Text;Suggested Target Text
Fluency;Grammar;Minor;I Translate Voice;아이 트랜스레이트 보이스 는;아이 트랜스레이트 보이스는
Style;Awkward;Minor;nine A;구 A;0,375
Accuracy;Mistranslation;Minor;Hi guys have a nice day how are you;안녕 얘들아 좋은 하루 보내 안녕히;안녕 얘들아 좋은 하루 보내 어떻게 지내고 있어
Accuracy;Omission;Minor;I'd like to buy some fruit;나는 과일을 사고 싶어;나는 과일을 좀 사고 싶어
Style;Awkward;Minor;Grilled butternut with pumpkin seeds;버터너트를 호박씨와 함께 구웠어요;호박씨와 함께 구운 버터너트
Accuracy;Mistranslation;Minor;I love Dolce and Gabbana;돌체와 가바나가 좋아;돌체 앤 가바나가 좋아
Accuracy;Mistranslation;Minor;So if you want to say something to me just use this;그러니 나에게 할 말이 있다면 그걸 이용해;그러니 나에게 할 말이 있다면 이걸 이용해
Fluency;Grammar;Minor;Water supposed to be cold;물은 차가웠어야해요;물은 차가웠어야 해요
Accuracy;Over-translation;Minor;Who is the man;저 남자는 누구야;그 남자는 누구야
Fluency;Spelling;Minor;I add milk cream;저는 우류 크림을 추가해요;저는 우유 크림을 추가해요
Style;Awkward;Minor;Thank you for coming to the Christmas lunch it was very appreciated;크리스마스 점심 식사 자리에 오셔서 정말 감사합니다;크리스마스 점심 식사 자리에 와주셔서 정말 감사합니다
Accuracy;Untranslated text;Minor;Working out today Safi Khan-first;오늘 운동 중 사피 칸-first;오늘 운동은 사피 칸입니다-먼저
Accuracy;Mistranslation;Minor;Hey pussy do you want to fuck me;이봐 생식기 나를 가져볼래;안녕 자기, 한번 할까
Accuracy;Mistranslation;Minor;I hate not being with you;내가 네가 될 수 없어서 싫어;너랑 함께할 수 있어서 싫어
Style;Awkward;Minor;My family visit's me in August;팔월에 방문한 우리 가족;우리 가족은 나를 팔월에 방문해
Style;Awkward;Minor;He asked them to never come back to the club again;그는 그들이 클럽으로 다시는 오지 말라고 부탁했다;그는 클럽에 다시는 오지 말라고 그들에게 부탁했다
Accuracy;Mistranslation;Minor;Give me this always;어쨌든 이걸 제게 주세요;항상 이걸 제게 주세요
Accuracy;Mistranslation;Minor;Which soda do you;어떤 음료를 원하시나요;어떤 소다를 원하시나요
Accuracy;Mistranslation;Minor;There is an active subscription on this;이것의 열성적인 구독자가 있어요;여기에 대한 활성화된 구독이 있어요.
Accuracy;Mistranslation;Minor;How much is the fair to the dock;부두의 입장료가 얼마인가요;부두까지 얼마인가요?
Accuracy;Mistranslation;Minor;I really feel old I'm tired all the time and an it's it's not normal;정말 늙은 기분이야 나는 언제나 피곤한데 이건 평범한 일이 아니야;정말 늙은 기분이야 나는 언제나 피곤한데 이건 정상이 아니야
