Error category;Error type;Severity;Source Text;Target Text;Suggested Target Text
Accuracy;Mistranslation;Minor;это не моя вина;je n'y peux rien.;je n'y suis pour rien.
Accuracy;Mistranslation;Minor;сегодня прощальный день а завтра похорон;aujourd'hui c'est le jour des adieux et demain on l'enterre;aujourd'hui c'est le jour des adieux et demain c'est l'enterrement
Accuracy;Mistranslation;Major;доброго дня;belle journée;bonjour
Accuracy;Mistranslation;Critical;все плохое это русское;tout ce qui est russe est mauvais, donc;tout ce qui est mauvais est russe
;;;все плохое это русское;tout ce qui est mauvais est russe;
;;;марш отсюда;marche d'ici;
Fluency;Inconsistency;Minor;Я люблю и я буду носить шубы из соболя из норки сумки из крокодила и змеи я люблю;J'aime et je porterai des manteaux de zibeline et vison, des sacs de crocodile et de serpents, j'adore;J'aime et je porterai des manteaux de zibeline et vison, des sacs de crocodile et de serpents
Fluency;Inconsistency;Minor;Я люблю и я буду носить шубы из соболя из норки сумки из крокодила и змеи я люблю;J'aime et je vais porter des manteaux de zibeline et vison, des sacs de crocodile et de serpents, je préfère;J'aime et je vais porter des manteaux de zibeline et vison, des sacs de crocodile et de serpents
Accuracy;Mistranslation;Major;есть китайский салон длинных ресниц;il y a un salon chinois pour les longs cils;il y a un salon chinois pour se faire l’extension des cils
Accuracy;Improper exact TM match;Minor;привет саймон;bonjour Simon;salut Simon
Accuracy;Mistranslation;Minor;Я теперь буду учиться каждый день никогда не буду пропускать;Je vais étudier tous les jours dès maintenant et je ne vais jamais manquer ça.;Je vais étudier tous les jours et je ne vais jamais sécher les cours.
Accuracy;Mistranslation;Critical;направо;vers la droite;
Fluency;Grammar;Major;А где тут ваши туалеты;Et où sont vos toilettes;Et où est le toilette
Accuracy;Untranslated text;Critical;Вадик гомосек;Vadik Gamosek.;Vadik est un pétanqueur.
Accuracy;Untranslated text;Critical;Вадик гомосек;Vadik Gamosek.;Vadik est un tarlouze.
Fluency;Grammar;Minor;как чпокнуть жену;comment baiser ta femme;comment baiser la femme
Fluency;Grammar;Minor;как чпокнуть жену;comment niquer ta femme;comment niquer la femme
Accuracy;Mistranslation;Minor;здравствуйте меня зовут Миша;Bonjour moi c'est Micha;Bonjour je suis Micha
Fluency;Grammar;Minor;замечательно начинается неделя;bon début de semaine;bon début de la semaine
Accuracy;Omission;Major;У нас всё отлично мне нужна от вас конкретная партия бриллиантов;ça va bien pour nous, j'ai besoin que vous me donniez des diamants.;ça va bien pour nous, j'ai besoin que vous me donniez un lot spécifique de diamants
Fluency;Grammar;Major;Я к тебе могу подъехать в 07:30 в 8 вечера если ты ещё не будешь спать;Je peux venir te voir à 7ₒhₒ30 et à 20ₒh si tu ne dors toujours pas;Je pourrai venir te voir de 7ₒhₒ30 à 20ₒh si tu ne dors pas encore
;;;Я к тебе могу подъехать в 07:30 в 8 вечера если ты ещё не будешь спать;Je peux venir te voir à 7h30 et à 20ₒh si tu ne dors pas encore;
;;;находить ответ;trouver la réponse;
